Have you seen any of the 6 films in the Star Wars franchise?,Please rank The Phantom Menace,Please rank attack of the clones,Please rank Revenge of the Sith,Plesase rank a new hope,Please rank The Empire Strikes Back,Please rank Return of the Jedi,Han Solo,Luke Skywalker,Princess Leia Organa,Anakin Skywalker,Obi Wan Kenobi,Emperor Palpatine,Darth Vader,Lando Calrissian,Boba Fett,C-3P0,R2 D2,Jar Jar Binks,Padme Amidala,Yoda,Which character shot first?,Are you familiar with the Expanded Universe?,Do you consider yourself to be a fan of the Expanded Universe?,Gender,Age,Education,phantom menace seen,attack of the clones seen,revenge of the sith seen,a new hope seen,empire strikes back seen,return of the jedi seen,Location,StarWars fan
Yes,1.0,2.0,3.0,4.0,5.0,6.0,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,I don't understand this question,No,No,Man,18-29,High school degree,Yes,Yes,Yes,No,No,No,South Atlantic,No
Yes,5.0,6.0,1.0,2.0,4.0,3.0,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Somewhat favorably,Somewhat unfavorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,I don't understand this question,No,No,Man,18-29,Some college or Associate degree,Yes,Yes,Yes,Yes,Yes,Yes,South Atlantic,Yes
Yes,1.0,4.0,3.0,6.0,5.0,2.0,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Very favorably,Han,Yes,No,Man,18-29,Bachelor degree,Yes,Yes,Yes,Yes,Yes,Yes,West South Central,Yes
Yes,4.0,5.0,6.0,3.0,2.0,1.0,Very favorably,Somewhat favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Very unfavorably,Somewhat unfavorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Somewhat favorably,Somewhat favorably,Very unfavorably,Somewhat unfavorably,Very favorably,Han,No,No,Man,18-29,High school degree,Yes,Yes,Yes,Yes,Yes,Yes,West North Central,Yes
Yes,1.0,2.0,3.0,4.0,5.0,6.0,Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Very favorably,Very favorably,Somewhat unfavorably,Very favorably,Somewhat unfavorably,Somewhat unfavorably,Very favorably,Very favorably,Very favorably,Somewhat unfavorably,Very favorably,I don't understand this question,No,No,Man,18-29,Some college or Associate degree,No,Yes,No,No,No,No,Middle Atlantic,No
Yes,3.0,4.0,5.0,6.0,1.0,2.0,Somewhat favorably,Very favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Very favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Greedo,No,No,Man,18-29,Bachelor degree,Yes,Yes,Yes,Yes,Yes,Yes,West North Central,No
Yes,4.0,6.0,5.0,3.0,1.0,2.0,Very favorably,Somewhat favorably,Somewhat favorably,Somewhat unfavorably,Very favorably,Somewhat favorably,Very favorably,Somewhat favorably,Very favorably,Somewhat unfavorably,Neither favorably nor unfavorably (neutral),Very unfavorably,Very unfavorably,Somewhat favorably,Han,Yes,Yes,Man,18-29,Some college or Associate degree,Yes,Yes,Yes,Yes,Yes,Yes,East North Central,Yes
Yes,6.0,5.0,1.0,4.0,3.0,2.0,Very favorably,Somewhat favorably,Very favorably,Very favorably,Somewhat favorably,Somewhat unfavorably,Very favorably,Very unfavorably,Very favorably,Somewhat favorably,Very favorably,Somewhat unfavorably,Very favorably,Very favorably,Greedo,No,No,Man,18-29,Some college or Associate degree,Yes,Yes,Yes,Yes,Yes,Yes,South Atlantic,Yes
Yes,3.0,4.0,5.0,1.0,2.0,6.0,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),I don't understand this question,No,No,Man,18-29,Bachelor degree,Yes,Yes,Yes,Yes,Yes,No,Middle Atlantic,No
Yes,6.0,5.0,4.0,3.0,1.0,2.0,Very favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Very unfavorably,Somewhat favorably,Somewhat favorably,Somewhat unfavorably,Very favorably,Very favorably,Very unfavorably,Neither favorably nor unfavorably (neutral),Very favorably,Greedo,Yes,Yes,Man,18-29,Bachelor degree,Yes,Yes,Yes,Yes,Yes,Yes,West North Central,Yes
Yes,4.0,6.0,5.0,2.0,1.0,3.0,Very favorably,Very favorably,Very favorably,Very unfavorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Unfamiliar,Very unfavorably,Very favorably,Han,Yes,Yes,Man,18-29,Some college or Associate degree,Yes,Yes,Yes,Yes,Yes,Yes,Pacific,Yes
Yes,4.0,3.0,5.0,6.0,2.0,1.0,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Somewhat favorably,Unfamiliar,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat unfavorably,Unfamiliar,Somewhat favorably,I don't understand this question,No,No,Man,30-44,High school degree,Yes,Yes,Yes,Yes,Yes,Yes,Mountain,No
Yes,6.0,5.0,4.0,2.0,1.0,3.0,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very unfavorably,Very favorably,Very favorably,Han,Yes,Yes,Man,30-44,Some college or Associate degree,Yes,Yes,Yes,Yes,Yes,Yes,South Atlantic,Yes
Yes,6.0,1.0,2.0,3.0,4.0,5.0,Somewhat unfavorably,Somewhat unfavorably,Somewhat unfavorably,Somewhat unfavorably,Somewhat unfavorably,Somewhat unfavorably,Somewhat unfavorably,Somewhat unfavorably,Somewhat unfavorably,Somewhat unfavorably,Somewhat unfavorably,Somewhat unfavorably,Somewhat unfavorably,Somewhat unfavorably,Han,No,No,Man,18-29,Less than high school degree,Yes,Yes,Yes,Yes,Yes,Yes,West South Central,No
Yes,6.0,1.0,2.0,3.0,4.0,5.0,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Han,No,No,Man,18-29,High school degree,No,Yes,Yes,No,No,No,New England,No
Yes,6.0,3.0,5.0,1.0,4.0,2.0,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Somewhat favorably,Han,Yes,No,Man,30-44,Bachelor degree,Yes,Yes,Yes,Yes,Yes,Yes,West South Central,Yes
Yes,4.0,5.0,6.0,3.0,2.0,1.0,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Somewhat unfavorably,Very favorably,Somewhat favorably,Very favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Greedo,Yes,Yes,Man,30-44,High school degree,Yes,Yes,Yes,Yes,Yes,Yes,South Atlantic,Yes
Yes,5.0,6.0,2.0,3.0,4.0,1.0,Very favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Somewhat favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Very unfavorably,Neither favorably nor unfavorably (neutral),Very favorably,Han,No,No,Man,30-44,Graduate degree,Yes,Yes,Yes,Yes,Yes,Yes,West South Central,Yes
Yes,6.0,5.0,4.0,2.0,1.0,3.0,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Somewhat favorably,Very favorably,Somewhat favorably,Somewhat favorably,Very favorably,Very favorably,Very unfavorably,Very favorably,Very favorably,Han,Yes,Yes,Man,18-29,Bachelor degree,Yes,Yes,Yes,Yes,Yes,Yes,Middle Atlantic,Yes
No,0.0,0.0,0.0,0.0,0.0,0.0,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,I don't understand this question,No,No,Man,18-29,High school degree,No,No,No,No,No,No,Middle Atlantic,No
Yes,5.0,4.0,6.0,3.0,1.0,2.0,Very favorably,Very favorably,Very favorably,Somewhat unfavorably,Very favorably,Very unfavorably,Very unfavorably,Somewhat unfavorably,Very unfavorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Han,Yes,Yes,Man,30-44,Some college or Associate degree,Yes,Yes,Yes,Yes,Yes,Yes,South Atlantic,Yes
Yes,6.0,5.0,4.0,1.0,2.0,3.0,Very favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Unfamiliar,Somewhat unfavorably,Unfamiliar,Somewhat unfavorably,Somewhat favorably,Somewhat favorably,Very unfavorably,Neither favorably nor unfavorably (neutral),Very favorably,Greedo,No,No,Man,18-29,Some college or Associate degree,Yes,Yes,Yes,Yes,Yes,Yes,Middle Atlantic,No
Yes,4.0,6.0,5.0,3.0,1.0,2.0,Very favorably,Somewhat favorably,Very favorably,Somewhat favorably,Very favorably,Somewhat favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Very unfavorably,Somewhat favorably,Very favorably,Greedo,No,No,Man,18-29,Bachelor degree,Yes,No,No,Yes,Yes,Yes,New England,Yes
Yes,4.0,5.0,1.0,6.0,2.0,3.0,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Very favorably,Somewhat favorably,Somewhat favorably,Very favorably,Somewhat favorably,Somewhat favorably,Very favorably,I don't understand this question,No,No,Man,30-44,Some college or Associate degree,Yes,Yes,Yes,Yes,Yes,Yes,East North Central,Yes
No,0.0,0.0,0.0,0.0,0.0,0.0,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,I don't understand this question,No,No,Man,18-29,High school degree,No,No,No,No,No,No,East North Central,No
Yes,6.0,4.0,5.0,3.0,1.0,2.0,Very favorably,Somewhat favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Somewhat favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Very favorably,Somewhat favorably,Very unfavorably,Somewhat unfavorably,Somewhat favorably,Han,No,No,Man,18-29,Graduate degree,Yes,Yes,Yes,Yes,Yes,Yes,South Atlantic,Yes
Yes,5.0,4.0,6.0,1.0,3.0,2.0,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Very favorably,Unfamiliar,Very unfavorably,Unfamiliar,Very favorably,Somewhat unfavorably,Very favorably,Very unfavorably,Somewhat favorably,Somewhat favorably,I don't understand this question,No,No,Man,18-29,Bachelor degree,Yes,Yes,No,Yes,Yes,Yes,Middle Atlantic,No
Yes,1.0,2.0,3.0,4.0,5.0,6.0,Unfamiliar,Somewhat unfavorably,Somewhat favorably,Unfamiliar,Somewhat unfavorably,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Greedo,No,No,Man,30-44,Graduate degree,No,No,No,Yes,No,No,Middle Atlantic,Yes
Yes,1.0,2.0,3.0,4.0,5.0,6.0,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Very favorably,Unfamiliar,Very favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Somewhat favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Somewhat favorably,I don't understand this question,No,No,Man,18-29,Some college or Associate degree,Yes,Yes,Yes,Yes,Yes,Yes,Middle Atlantic,No
Yes,6.0,5.0,4.0,2.0,1.0,3.0,Somewhat favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Somewhat unfavorably,Very favorably,Somewhat favorably,Very favorably,Somewhat favorably,Very favorably,Somewhat unfavorably,Somewhat favorably,Very favorably,Han,Yes,Yes,Man,18-29,Some college or Associate degree,Yes,Yes,Yes,Yes,Yes,Yes,East South Central,Yes
Yes,6.0,5.0,2.0,4.0,3.0,1.0,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Unfamiliar,Very favorably,Unfamiliar,Somewhat favorably,Somewhat favorably,Somewhat favorably,Very unfavorably,Unfamiliar,Somewhat favorably,I don't understand this question,No,No,Man,18-29,Graduate degree,Yes,Yes,Yes,Yes,Yes,Yes,East South Central,No
Yes,5.0,6.0,4.0,2.0,1.0,3.0,Very favorably,Somewhat favorably,Somewhat favorably,Very unfavorably,Very favorably,Very favorably,Very favorably,Very favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Very unfavorably,Somewhat unfavorably,Somewhat favorably,Han,Yes,Yes,Man,18-29,Some college or Associate degree,Yes,Yes,Yes,Yes,Yes,Yes,East South Central,Yes
Yes,4.0,5.0,3.0,6.0,2.0,1.0,Very favorably,Very favorably,Very favorably,Somewhat unfavorably,Unfamiliar,Somewhat favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Very unfavorably,Unfamiliar,Very favorably,Very favorably,Greedo,No,No,Man,30-44,Graduate degree,Yes,Yes,Yes,Yes,Yes,Yes,South Atlantic,Yes
Yes,6.0,4.0,5.0,2.0,1.0,3.0,Very favorably,Somewhat favorably,Very favorably,Somewhat unfavorably,Very favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Somewhat favorably,Somewhat favorably,Very favorably,Very favorably,Unfamiliar,Somewhat unfavorably,Somewhat favorably,Han,No,No,Man,30-44,Graduate degree,Yes,Yes,Yes,Yes,Yes,Yes,South Atlantic,Yes
Yes,6.0,5.0,4.0,3.0,2.0,1.0,Very favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Somewhat favorably,Very favorably,Very unfavorably,Somewhat favorably,Very favorably,Han,No,No,Man,18-29,Bachelor degree,Yes,Yes,Yes,Yes,Yes,Yes,South Atlantic,Yes
Yes,5.0,6.0,2.0,4.0,1.0,3.0,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very unfavorably,Very favorably,Very favorably,Greedo,Yes,No,Man,18-29,Graduate degree,Yes,Yes,Yes,Yes,Yes,Yes,West North Central,Yes
Yes,4.0,5.0,6.0,1.0,2.0,3.0,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Greedo,No,No,Man,18-29,Bachelor degree,Yes,Yes,Yes,Yes,Yes,Yes,West South Central,Yes
Yes,4.0,5.0,6.0,2.0,3.0,1.0,Very favorably,Somewhat favorably,Very favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Somewhat unfavorably,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,I don't understand this question,No,No,Man,30-44,High school degree,Yes,Yes,Yes,Yes,Yes,Yes,Middle Atlantic,No
Yes,3.0,4.0,5.0,6.0,1.0,2.0,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Neither favorably nor unfavorably (neutral),Somewhat unfavorably,Very favorably,Very favorably,Somewhat unfavorably,Somewhat unfavorably,Very favorably,Greedo,No,No,Man,30-44,Some college or Associate degree,Yes,Yes,Yes,Yes,Yes,Yes,Pacific,Yes
Yes,3.0,4.0,5.0,6.0,1.0,2.0,Somewhat favorably,Very favorably,Very favorably,Somewhat favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Somewhat unfavorably,Neither favorably nor unfavorably (neutral),Somewhat unfavorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Very favorably,Greedo,No,No,Man,30-44,Bachelor degree,No,No,No,No,Yes,Yes,East North Central,No
Yes,6.0,5.0,2.0,3.0,4.0,1.0,Very favorably,Very favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat unfavorably,Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Somewhat favorably,Somewhat favorably,Very unfavorably,Neither favorably nor unfavorably (neutral),Very favorably,Greedo,No,No,Man,18-29,Bachelor degree,Yes,Yes,Yes,Yes,Yes,Yes,Mountain,Yes
Yes,6.0,5.0,4.0,3.0,2.0,1.0,Somewhat favorably,Somewhat favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Unfamiliar,Neither favorably nor unfavorably (neutral),Somewhat favorably,Somewhat favorably,Unfamiliar,Unfamiliar,Somewhat favorably,I don't understand this question,No,No,Man,60<,Some college or Associate degree,No,No,No,No,Yes,Yes,West North Central,No
Yes,6.0,4.0,5.0,1.0,2.0,3.0,Somewhat favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Very favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Greedo,No,No,Man,30-44,Graduate degree,Yes,Yes,Yes,Yes,Yes,Yes,West North Central,Yes
Yes,6.0,5.0,4.0,2.0,3.0,1.0,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Very unfavorably,Very unfavorably,Very favorably,Very unfavorably,Very favorably,Very favorably,Very unfavorably,Very favorably,Very favorably,Greedo,No,No,Man,60<,Graduate degree,Yes,Yes,Yes,Yes,Yes,Yes,Pacific,Yes
No,0.0,0.0,0.0,0.0,0.0,0.0,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,I don't understand this question,No,No,Man,18-29,Some college or Associate degree,No,No,No,No,No,No,Pacific,No
Yes,6.0,5.0,3.0,2.0,1.0,4.0,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Somewhat favorably,Somewhat favorably,Very favorably,Very favorably,Very unfavorably,Somewhat favorably,Very favorably,Han,No,No,Man,30-44,Some college or Associate degree,Yes,Yes,Yes,Yes,Yes,Yes,Pacific,Yes
No,0.0,0.0,0.0,0.0,0.0,0.0,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,I don't understand this question,No,No,Man,60<,Less than high school degree,No,No,No,No,No,No,South Atlantic,No
No,0.0,0.0,0.0,0.0,0.0,0.0,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,I don't understand this question,No,No,Man,60<,Some college or Associate degree,No,No,No,No,No,No,Mountain,No
Yes,5.0,4.0,6.0,2.0,3.0,1.0,Very favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Unfamiliar,Somewhat favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Somewhat unfavorably,Neither favorably nor unfavorably (neutral),Very unfavorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Han,No,No,Man,30-44,Bachelor degree,Yes,Yes,No,Yes,Yes,Yes,Middle Atlantic,No
Yes,6.0,5.0,4.0,1.0,3.0,2.0,Very favorably,Somewhat favorably,Somewhat favorably,Very unfavorably,Very favorably,Unfamiliar,Neither favorably nor unfavorably (neutral),Unfamiliar,Neither favorably nor unfavorably (neutral),Very favorably,Somewhat favorably,Very unfavorably,Unfamiliar,Very favorably,Han,No,No,Man,18-29,Bachelor degree,No,No,No,Yes,Yes,Yes,West South Central,No
No,0.0,0.0,0.0,0.0,0.0,0.0,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,I don't understand this question,No,No,Man,18-29,Less than high school degree,No,No,No,No,No,No,South Atlantic,No
Yes,6.0,5.0,4.0,3.0,2.0,1.0,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very unfavorably,Very unfavorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Unfamiliar,Unfamiliar,Very favorably,I don't understand this question,No,No,Man,60<,High school degree,No,No,Yes,Yes,Yes,Yes,West North Central,Yes
Yes,1.0,4.0,5.0,2.0,3.0,6.0,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Unfamiliar,Very favorably,Han,No,No,Man,60<,Bachelor degree,Yes,Yes,Yes,Yes,Yes,Yes,East North Central,Yes
Yes,1.0,2.0,3.0,4.0,5.0,6.0,Very favorably,Very favorably,Very favorably,Unfamiliar,Unfamiliar,Unfamiliar,Very favorably,Unfamiliar,Unfamiliar,Very favorably,Very favorably,Unfamiliar,Unfamiliar,Very favorably,Greedo,No,No,Man,60<,Bachelor degree,Yes,Yes,Yes,No,No,No,Pacific,No
Yes,2.0,3.0,6.0,5.0,1.0,4.0,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Unfamiliar,Unfamiliar,Very favorably,Very favorably,Unfamiliar,Unfamiliar,Somewhat favorably,I don't understand this question,No,No,Man,60<,Some college or Associate degree,Yes,Yes,No,No,Yes,Yes,West North Central,Yes
Yes,6.0,5.0,4.0,1.0,3.0,2.0,Very favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Unfamiliar,Somewhat favorably,Very unfavorably,Somewhat favorably,Very favorably,Greedo,Yes,Yes,Man,60<,Bachelor degree,Yes,Yes,Yes,Yes,Yes,Yes,West North Central,Yes
Yes,5.0,3.0,4.0,6.0,2.0,1.0,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Somewhat unfavorably,Somewhat favorably,Very favorably,Greedo,No,No,Man,30-44,Graduate degree,Yes,Yes,Yes,Yes,Yes,Yes,West North Central,Yes
No,0.0,0.0,0.0,0.0,0.0,0.0,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,I don't understand this question,No,No,Man,30-44,Bachelor degree,No,No,No,No,No,No,Pacific,No
No,0.0,0.0,0.0,0.0,0.0,0.0,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,I don't understand this question,No,No,Man,30-44,Bachelor degree,No,No,No,No,No,No,West South Central,No
Yes,6.0,5.0,4.0,1.0,3.0,2.0,Somewhat favorably,Somewhat favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Unfamiliar,Somewhat favorably,Somewhat unfavorably,Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Very unfavorably,Unfamiliar,Very favorably,Han,No,No,Man,30-44,Bachelor degree,No,No,No,Yes,Yes,Yes,Pacific,Yes
Yes,2.0,3.0,4.0,5.0,1.0,6.0,Unfamiliar,Very favorably,Very favorably,Unfamiliar,Very favorably,Unfamiliar,Very unfavorably,Unfamiliar,Unfamiliar,Very favorably,Very favorably,Very favorably,Unfamiliar,Unfamiliar,I don't understand this question,No,No,Man,60<,Some college or Associate degree,No,No,No,No,Yes,No,West North Central,No
Yes,3.0,4.0,5.0,6.0,2.0,1.0,Somewhat favorably,Very favorably,Very favorably,Unfamiliar,Somewhat favorably,Unfamiliar,Very favorably,Unfamiliar,Somewhat favorably,Very favorably,Very favorably,Unfamiliar,Unfamiliar,Very favorably,I don't understand this question,No,No,Man,30-44,High school degree,No,No,No,No,Yes,Yes,Pacific,No
Yes,3.0,5.0,6.0,2.0,4.0,1.0,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Han,No,No,Man,30-44,Some college or Associate degree,Yes,Yes,Yes,Yes,Yes,Yes,West South Central,Yes
Yes,1.0,4.0,5.0,6.0,2.0,3.0,Very favorably,Somewhat favorably,Somewhat favorably,Unfamiliar,Very favorably,Neither favorably nor unfavorably (neutral),Very unfavorably,Unfamiliar,Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Very unfavorably,Unfamiliar,Somewhat favorably,Greedo,Yes,No,Man,60<,Bachelor degree,Yes,Yes,No,No,Yes,Yes,West North Central,Yes
Yes,1.0,2.0,3.0,4.0,5.0,6.0,Very favorably,Somewhat favorably,Somewhat favorably,Unfamiliar,Very favorably,Unfamiliar,Somewhat unfavorably,Unfamiliar,Unfamiliar,Very favorably,Very favorably,Unfamiliar,Unfamiliar,Somewhat favorably,I don't understand this question,No,No,Man,60<,Graduate degree,Yes,No,No,No,No,No,Middle Atlantic,No
Yes,4.0,5.0,2.0,1.0,3.0,6.0,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Somewhat favorably,Very favorably,Somewhat favorably,Somewhat favorably,Very favorably,Very favorably,Somewhat favorably,Somewhat favorably,Very favorably,Han,No,No,Man,30-44,Some college or Associate degree,Yes,Yes,Yes,Yes,Yes,Yes,South Atlantic,No
